Text ID	Text Paragraphs Count	Title
t000000	29	(Fern flora of Viçosa, Minas Gerais State, Brazil: Dennstaedtiaceae, Lindsaeaceae and Saccolomataceae
t000001	31	Assembling the perfect bacterial genome using Oxford Nanopore and Illumina sequencing
t000008	22	Water immersion and one-year storage influence germination of the pyrenes of Copernicia alba Morong, a palm tree from a neotropical wetland
t000011	21	How dehydration affects stem bending stiffness and leaf toughness after sampling of the liana Amphilophium crucigerum (L.) L.G.Lohmann (Bignoniaceae)
t000012	20	Generalist diets allows opportunism behavior to engage in cleaning interactions among birds and large mammals
t000023	76	Periphytic algal flora of the low Doce river, Espírito Santo State, Brazil, after ore tailings flow, 1: smooth cell walled Cosmarium Corda (Zygnematophyceae, Desmidiaceae
t000024	29	Simultaneous relocation strategy of bromeliads as epiphytes or terricolous in the Montane Dense Ombrophilous Forest of Parque Estadual da Cantareira, São Paulo State, Brazil
t000041	21	Floristic survey of a Caatinga area of high biological importance in the Mesoregion of Paraíba backlands, Northeast Brazil
t000048	50	Zingiberales Griseb. in the Núcleo Curucutu, Parque Estadual Serra do Mar, São Paulo State, Brazil
t000050	31	Occurrence records and metadata for sand flies (Diptera, Psychodidae, Phlebotominae) collected in the lands of indigenous people in the Brazilian Amazon
t000052	39	Monogeneans from Catfishes in Lake Tanganyika. I: Two new species of Bagrobdella Paperna, 1969 (Dactylogyridae) from Auchenoglanis occidentalis (Valenciennes, 1840) (Siluriformes: Claroteidae)
t000053	20	Sand fly (Diptera Psychodidae Phlebotominae) records in Acre, Brazil a Dataset
t000055	12	Online catalogue of the Coleção de Flebotomíneos (FIOCRUZ/COLFLEB), a biological collection of American sand flies (Diptera: Psychodidae, Phlebotominae) held at Fiocruz Minas, Brazil
t000057	16	Topsoil physical properties under a riparian forest in Central Brazil: infiltration and penetration resistance
t000058	17	"Culicidae (Diptera: Culicomorpha) in the southern Brazilian collection ""Ana Leuch Lozovei"" with notes on distribution and diversity"
t000062	28	Impact of Hedychium coronarium J. König (Zingiberaceae) on the assembly of spiders in the Parque Estadual das Fontes do Ipiranga, São Paulo State, Brazil
t000064	43	Leaf anatomy and photosynthetic parameters of Vellozia squamata Pohl (Velloziaceae) grown under different light intensities along in vitro cultivation
t000070	42	Seeds cryopreservation of Vriesea reitzii Leme & A.F. Costa endemic bromeliad from Atlantic Rainforest
t000072	36	Seed bank analysis and species similarity in the Guarnição da Aeronáutica de Pirassununga (São Paulo State, Brazil)
t000073	161	A first review of Gasteroid fungi (Agaricomycetes, Basidiomycota) in Paraguay
t000082	39	Cheating interactions favor modularity in mutualistic networks
t000087	34	Superspreading event of COVID-19 in adolescents: is there a difference between the vaccinated and the unvaccinated?
t000099	18	Initial in vitro plant establishment of seeds and nodal segments from bromeliad Acanthostachys strobilacea (Schult. & Schult.f.) Klotzsch differs in respiratory rates and shoot formation
t000104	41	Using the benthic macroinvertebrates as indicators of the water quality in the “Cachoeira do Paraíso” waterfall (Itinguçu State Park, Peruíbe, SP, Brazil)
t000108	16	A new species of Pleroma (Melastomataceae) from Mantiqueira Range, Minas Gerais State, Brazil
t000110	55	Holocene diatoms from Xingu river: new records for the Brazilian Amazon and Brazil
t000114	35	Survey of mosses (Bryophyta) along visitor trails in the Parque Nacional do Caparaó, Espírito Santo State, Brazil
t000118	15	A new species of Vriesea Lindl. (Bromeliaceae) from the Atlantic Rainforest of São Paulo State, Brazil
t000119	27	Effect of salt stress on germination and initial development of Ruta graveolens L.
t000120	32	The influence of forest litter on the endomicorritic fungi community in a natural regeneration area in São Paulo State, Brazil
t000122	32	Decontamination protocol of the macroalga Bostrychia binderi Harvey (Rhodophyta) for unialgal cultures and laboratory studies
t000124	12	Porotrichum squarrosum (Arzeni) H.A. Crum & Steere a new record to Brazil
t000128	20	Libidibia ferrea antimicrobial and disinfectant activity
t000131	35	Morpho-physiological performance of Mikania glomerata Spreng. and Mikania laevigata Sch. Bip ex Baker plants under different light conditions
t000134	32	Amphibians and reptiles from the Parque Nacional da Tijuca, Brazil, one of the world's largest urban forests
t000149	32	ANALYSIS OF SPONTANEOUS VEGETATION IN SEMI-ARID CATTLE FIELDS OF THE MIDDLE VALLEY OF RÍO NEGRO
t000161	35	Are publications on zoological taxonomy under attack?
t000169	11	Is the SARS-COV2 mortality rate coefficient decreasing over time?
t000172	49	Molecular mechanisms and pharmacological interventions in the replication cycle of human coronaviruses
t000174	8	Maternity, science and pandemic: an urgent call for action!
t000178	16	Data mining of DNA sequences submitted by Peruvian institutions to public genetic databases
t000182	44	Orientation of Belminus triatomines to cockroaches and cockroaches’ fecal volatiles: an ethological approach
t000194	51	Freshwater hyphomycetes in a preserved insular system from Brazil: first records at Parque Estadual da Ilha do Cardoso, municipality of Cananéia, São Paulo State
t000245	12	Additions to the knowledge of Ganodermataceae in brazilian Cerrado
t000254	55	Plant community dynamics in an urban forest fragment of the São Paulo Metropolitan Area, Brazil
t000261	26	Garças Reservoir trophic state dynamics: a 20-year synthesis
t000270	14	PEFI algal flora: a half-century of investigation
t000292	7	Ion torrent-based nasopharyngeal swab metatranscriptomics in COVID-19
t000313	35	ACE2 diversity in placental mammals reveals the evolutionary strategy of SARS-CoV-2
t000314	15	Coronavirus 2: Analysis of Regularity of Complete Genome (SARS-CoV-2/Hu/DP/Kng/19-020 RNA)
